ID_VIV,ID_HOG,UPM,VIV_SEL,HOGAR,RESUL_H,N_INF,R_SEL,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,TOT_PER,FAC_HOG,FAC_HOG_AM,DOMINIO,EST_DIS,UPM_DIS
1300418.04,1300418.04.03,1300418,4,3,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,308,308,U,223,5665
1300418.05,1300418.05.01,1300418,5,1,B,2,2,13,HIDALGO,48,PACHUCA DE SOTO,4,308,308,U,223,5665
1300421.01,1300421.01.01,1300421,1,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,388,388,U,224,5666
1300421.02,1300421.02.01,1300421,2,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,2,388,388,U,224,5666
1300421.03,1300421.03.01,1300421,3,1,A,2,1,13,HIDALGO,48,PACHUCA DE SOTO,4,388,388,U,224,5666
1300421.04,1300421.04.01,1300421,4,1,B,2,1,13,HIDALGO,48,PACHUCA DE SOTO,2,388,388,U,224,5666
1300432.01,1300432.01.01,1300432,1,1,B,2,2,13,HIDALGO,48,PACHUCA DE SOTO,2,278,278,U,223,5667
1300432.02,1300432.02.01,1300432,2,1,B,2,1,13,HIDALGO,48,PACHUCA DE SOTO,3,278,278,U,223,5667
1300432.03,1300432.03.01,1300432,3,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,4,278,278,U,223,5667
1300432.04,1300432.04.01,1300432,4,1,B,2,2,13,HIDALGO,48,PACHUCA DE SOTO,5,278,278,U,223,5667
1300432.05,1300432.05.01,1300432,5,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,7,278,278,U,223,5667
1300454.01,1300454.01.01,1300454,1,1,B,1,2,13,HIDALGO,48,PACHUCA DE SOTO,2,336,336,U,224,5668
1300454.02,1300454.02.01,1300454,2,1,A,1,2,13,HIDALGO,48,PACHUCA DE SOTO,3,336,336,U,224,5668
1300454.04,1300454.04.01,1300454,4,1,B,2,2,13,HIDALGO,48,PACHUCA DE SOTO,3,336,336,U,224,5668
1300454.05,1300454.05.01,1300454,5,1,B,2,2,13,HIDALGO,48,PACHUCA DE SOTO,2,336,336,U,224,5668
1300464.01,1300464.01.01,1300464,1,1,A,1,4,13,HIDALGO,48,PACHUCA DE SOTO,6,287,287,U,223,5669
1300464.02,1300464.02.01,1300464,2,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,287,287,U,223,5669
1300464.04,1300464.04.01,1300464,4,1,B,2,1,13,HIDALGO,48,PACHUCA DE SOTO,3,287,287,U,223,5669
1300474.02,1300474.02.01,1300474,2,1,B,2,2,13,HIDALGO,48,PACHUCA DE SOTO,5,332,332,U,224,5670
1300474.04,1300474.04.01,1300474,4,1,B,1,2,13,HIDALGO,48,PACHUCA DE SOTO,2,332,332,U,224,5670
1300474.05,1300474.05.01,1300474,5,1,A,2,2,13,HIDALGO,48,PACHUCA DE SOTO,2,332,332,U,224,5670
1300477.01,1300477.01.01,1300477,1,1,B,1,2,13,HIDALGO,48,PACHUCA DE SOTO,4,258,258,U,223,5671
1300477.02,1300477.02.01,1300477,2,1,A,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,258,258,U,223,5671
1300477.03,1300477.03.01,1300477,3,1,A,1,1,13,HIDALGO,48,PACHUCA DE SOTO,3,258,258,U,223,5671
1300477.04,1300477.04.01,1300477,4,1,B,2,4,13,HIDALGO,48,PACHUCA DE SOTO,5,258,258,U,223,5671
1300477.05,1300477.05.01,1300477,5,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,258,258,U,223,5671
1300489.01,1300489.01.01,1300489,1,1,B,2,1,13,HIDALGO,48,PACHUCA DE SOTO,3,258,258,U,224,5672
1300489.02,1300489.02.01,1300489,2,1,B,1,2,13,HIDALGO,48,PACHUCA DE SOTO,2,258,258,U,224,5672
1300489.03,1300489.03.01,1300489,3,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,4,258,258,U,224,5672
1300489.03,1300489.03.02,1300489,3,2,C,2,2,13,HIDALGO,48,PACHUCA DE SOTO,2,0,0,U,224,5672
1300489.04,1300489.04.01,1300489,4,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,5,258,258,U,224,5672
1300489.05,1300489.05.01,1300489,5,1,A,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,258,258,U,224,5672
1300499.02,1300499.02.01,1300499,2,1,A,4,1,13,HIDALGO,48,PACHUCA DE SOTO,5,258,258,U,223,5673
1300499.03,1300499.03.01,1300499,3,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,2,258,258,U,223,5673
1300499.04,1300499.04.01,1300499,4,1,A,1,1,13,HIDALGO,48,PACHUCA DE SOTO,2,258,258,U,223,5673
1300499.05,1300499.05.01,1300499,5,1,B,1,2,13,HIDALGO,48,PACHUCA DE SOTO,2,258,258,U,223,5673
1300511.01,1300511.01.01,1300511,1,1,A,1,1,13,HIDALGO,48,PACHUCA DE SOTO,4,418,418,U,225,5674
1300511.02,1300511.02.01,1300511,2,1,B,1,2,13,HIDALGO,48,PACHUCA DE SOTO,2,418,418,U,225,5674
1300511.03,1300511.03.01,1300511,3,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,418,418,U,225,5674
1300511.04,1300511.04.01,1300511,4,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,418,418,U,225,5674
1300511.05,1300511.05.01,1300511,5,1,A,2,3,13,HIDALGO,48,PACHUCA DE SOTO,3,418,418,U,225,5674
1300522.01,1300522.01.01,1300522,1,1,B,2,5,13,HIDALGO,48,PACHUCA DE SOTO,5,256,256,U,223,5675
1300522.03,1300522.03.01,1300522,3,1,B,2,1,13,HIDALGO,48,PACHUCA DE SOTO,3,256,256,U,223,5675
1300522.05,1300522.05.01,1300522,5,1,A,1,2,13,HIDALGO,48,PACHUCA DE SOTO,3,256,256,U,223,5675
1300530.01,1300530.01.01,1300530,1,1,B,2,1,13,HIDALGO,48,PACHUCA DE SOTO,3,220,220,U,223,5676
1300530.02,1300530.02.01,1300530,2,1,A,2,2,13,HIDALGO,48,PACHUCA DE SOTO,3,220,220,U,223,5676
1300530.03,1300530.03.01,1300530,3,1,B,3,3,13,HIDALGO,48,PACHUCA DE SOTO,5,220,220,U,223,5676
1300530.05,1300530.05.01,1300530,5,1,A,1,1,13,HIDALGO,48,PACHUCA DE SOTO,3,220,220,U,223,5676
1300558.01,1300558.01.01,1300558,1,1,B,2,4,13,HIDALGO,48,PACHUCA DE SOTO,5,356,356,U,224,5677
1300558.02,1300558.02.01,1300558,2,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,2,356,356,U,224,5677
1300558.03,1300558.03.01,1300558,3,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,4,356,356,U,224,5677
1300558.04,1300558.04.01,1300558,4,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,356,356,U,224,5677
1300558.05,1300558.05.01,1300558,5,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,3,356,356,U,224,5677
1300558.05,1300558.05.02,1300558,5,2,B,1,2,13,HIDALGO,48,PACHUCA DE SOTO,2,356,356,U,224,5677
1300586.01,1300586.01.01,1300586,1,1,B,2,2,13,HIDALGO,48,PACHUCA DE SOTO,2,937,937,U,226,5678
1300586.02,1300586.02.01,1300586,2,1,A,2,1,13,HIDALGO,48,PACHUCA DE SOTO,3,937,937,U,226,5678
1300586.03,1300586.03.01,1300586,3,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,937,937,U,226,5678
1300586.05,1300586.05.01,1300586,5,1,B,2,1,13,HIDALGO,48,PACHUCA DE SOTO,4,937,937,U,226,5678
1300600.02,1300600.02.01,1300600,2,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,340,340,U,225,5679
